symbol,price,cost_100_shares,target_price,earnings_date,tv_rating,score,chance_of_profit,iv,delta,strike,expiration_date,premium
CZR,25.28,2528.0,41.47059,,,0.7138681696000768,85.86650173041814,1.0,0.8586650173041813,18.0,2026-01-16,12.6
CHTR,267.01,26701.0,400.78946,,,0.6797969188270068,89.7442741769954,1.0,0.897442741769954,190.0,2025-12-19,219.85
EXE,93.05,9305.0,133.37038,,,0.6568623606104624,88.43325445891203,1.0,0.8843325445891204,50.0,2026-01-16,41.5
CTRA,23.1,2310.0,33.52,,,0.6558526080033451,85.26396633933486,1.0,0.8526396633933486,17.0,2026-01-16,7.51
CMG,43.25,4325.0,58.25806,,,0.6337913133156643,89.84458151332346,1.0,0.8984458151332346,30.0,2026-01-16,14.07
DVN,33.58,3358.0,44.92857,,,0.6303463489943826,89.47974090576785,1.0,0.8947974090576786,32.0,2025-08-22,1.99
FANG,138.96,13896.0,182.56667,,,0.6201338340357565,87.99581382271413,1.0,0.8799581382271413,70.31,2026-01-16,106.25
DXCM,80.9,8090.000000000001,102.08,,,0.6076559103462029,89.55725059955387,1.0,0.8955725059955386,55.0,2026-01-16,23.0
HAL,21.11,2111.0,26.54167,,,0.6059516640453182,89.38035594497077,1.0,0.8938035594497077,19.0,2025-08-22,1.85
COO,74.02,7402.0,93.26667,,,0.6041253974435015,88.0597197971358,1.0,0.8805971979713579,50.0,2025-11-21,23.15
EQT,50.54,5054.0,62.72,,,0.6006744516991454,89.18764136203805,1.0,0.8918764136203805,35.0,2026-01-16,16.7
EPAM,167.53,16753.0,212.9375,,,0.6000202509450787,84.35397433542953,1.0,0.8435397433542953,145.0,2025-09-19,17.6
FIS,69.33,6933.0,85.61111,,,0.5999599187226664,89.75471055129424,1.0,0.8975471055129424,47.5,2025-12-19,17.6
CTSH,70.86,7086.0,87.63136,,,0.5998608488504735,89.42796887908942,1.0,0.8942796887908941,35.0,2026-01-16,41.5
DDOG,128.99,12899.0,159.93175,,,0.5989348983208149,88.48588082177655,1.0,0.8848588082177655,123.0,2025-08-22,6.21
