symbol,price,cost_100_shares,target_price,earnings_date,tv_rating,score,chance_of_profit,iv,delta,strike,expiration_date,premium
MRNA,25.475,2547.5,44.25,,,0.7505632679304755,89.73207557465874,1.0,0.8973207557465873,15.0,2026-01-16,10.7
MSTR,332.19,33219.0,564.8333,,,0.7400543805023974,89.97738441718805,1.0,0.8997738441718804,215.0,2025-12-19,123.47
TTD,45.635,4563.5,73.90909,,,0.715789464937221,89.95918957390245,1.0,0.8995918957390245,37.5,2025-10-17,8.54
CZR,25.4388,2543.88,40.88235,,,0.7077342390761576,87.80415666247141,1.0,0.8780415666247141,18.0,2026-01-16,9.05
CHTR,260.59,26058.999999999996,390.4,,,0.6774220625435721,88.99020545345068,1.0,0.8899020545345069,230.0,2025-09-19,34.5
TEAM,173.94,17394.0,258.6169,,,0.6758207282772102,89.88785637730807,1.0,0.8988785637730806,115.0,2026-01-16,61.4
CMG,39.215,3921.5000000000005,57.51515,,,0.6677109977368036,88.85620013067394,1.0,0.8885620013067393,18.8,2026-01-16,37.4
ALGN,132.38,13238.0,186.35715,,,0.6491976300870579,88.43721585936217,1.0,0.8843721585936217,125.0,2025-09-19,8.4
CRM,239.33,23933.0,334.67746,,,0.648963844073434,89.72293235719499,1.0,0.89722932357195,200.0,2025-10-17,38.7
FI,133.045,13304.499999999998,184.16452,,,0.6414013779410868,88.06659524285723,1.0,0.8806659524285723,100.0,2025-12-19,38.09
PCG,15.035,1503.5,20.46429,,,0.6371682359933879,89.41760652346483,1.0,0.8941760652346483,12.5,2025-09-26,2.98
EPAM,153.73,15372.999999999998,211.125,,,0.636759894846362,87.37754060603403,1.0,0.8737754060603403,80.0,2025-10-17,85.5
CTRA,24.43,2443.0,33.16,,,0.6356496137953498,89.22267836717961,1.0,0.8922267836717961,21.0,2025-09-19,2.32
KMX,59.77,5977.0,81.0,,,0.6295150152856004,86.47827056734434,1.0,0.8647827056734434,50.0,2025-10-17,12.0
SNPS,426.0,42600.0,569.1909,,,0.627010075203186,88.08570661567742,1.0,0.8808570661567742,310.0,2026-01-16,124.89
ISRG,434.365,43436.5,582.10077,,,0.6266193950687704,87.29185424590665,1.0,0.8729185424590665,250.0,2026-01-16,312.3
DXCM,76.85,7684.999999999999,102.08333,,,0.6252435556781062,88.36999514549414,1.0,0.8836999514549414,55.0,2026-01-16,25.8
WY,25.055,2505.5,33.0,,,0.6234181994066841,89.14374348701799,1.0,0.8914374348701798,21.0,2025-10-17,4.1
GDDY,144.68,14468.0,192.5294,,,0.6215380499720757,86.1601640515618,1.0,0.8616016405156179,135.0,2025-09-19,13.0
ACN,236.6401,23664.01,311.66763,,,0.6213174377861634,88.1007204811473,1.0,0.8810072048114731,225.0,2025-09-19,13.76
ADBE,350.08,35008.0,457.52487,,,0.620444758203329,89.18510047963521,1.0,0.8918510047963522,240.0,2026-01-16,115.9
IFF,64.59,6459.0,84.28235,,,0.6200823378731664,89.30881872757254,1.0,0.8930881872757255,35.0,2026-01-16,40.02
AMCR,8.35,835.0,10.91,,,0.6181118505383667,88.06790131708755,1.0,0.8806790131708755,8.0,2025-09-19,0.35
BALL,49.61,4961.0,64.76923,,,0.6162834128342094,87.30650182125711,1.0,0.8730650182125712,40.0,2025-11-21,11.51
FIS,66.04,6604.000000000001,85.38889,,,0.6132465156988856,87.67514307052096,1.0,0.8767514307052096,50.0,2025-12-19,19.8
SW,44.14,4414.0,56.69333,,,0.6132099938071591,88.9452891555053,1.0,0.8894528915550529,40.0,2025-09-19,4.16
EQT,48.96,4896.0,62.72,,,0.612065825129479,88.87604981964155,1.0,0.8887604981964154,25.0,2026-01-16,29.02
WDAY,219.23,21923.0,279.048,,,0.6101535360056007,89.14851913175173,1.0,0.8914851913175172,160.0,2025-12-19,57.9
DHR,190.52,19052.0,244.35,,,0.6095463109461176,87.39177818983393,1.0,0.8739177818983394,100.0,2026-01-16,100.6
MRK,80.835,8083.499999999999,102.33333,,,0.6091843322293169,89.69918040302363,1.0,0.8969918040302363,60.0,2025-12-19,24.59
TRGP,163.73,16372.999999999998,207.42105,,,0.6085639273077423,89.25473895467127,1.0,0.8925473895467126,120.0,2025-12-19,44.72
COO,65.18,6518.000000000001,84.46667,,,0.6064614627949814,83.84594311887764,1.0,0.8384594311887764,50.0,2026-02-20,19.9
BSX,99.17,9917.0,124.53065,,,0.6052121579417524,89.58751475925762,0.9965920654296876,0.8958751475925761,72.5,2026-01-16,35.23
AKAM,76.17,7617.0,95.20455,,,0.6042625775605481,89.64694455026228,1.0,0.8964694455026228,55.0,2026-01-16,24.15
CTSH,68.97,6897.0,86.85864,,,0.6041946816813502,88.19207768278031,1.0,0.8819207768278031,35.0,2026-01-16,41.5
ZTS,147.105,14710.499999999998,190.08533,,,0.6040255470072569,83.18659832263519,1.0,0.831865983226352,100.0,2026-01-16,53.75
EXE,96.57,9657.0,131.46153,,,0.6037927518483671,88.27516650158407,0.8442498388671875,0.8827516650158407,75.0,2026-01-16,22.2
MRVL,68.64,6864.0,85.9441,,,0.6035193610858662,88.94477669677924,1.0,0.8894477669677924,50.0,2026-01-16,20.12
KVUE,18.135,1813.5000000000002,22.6,,,0.6028260787255499,89.48169114110411,1.0,0.8948169114110411,10.0,2026-01-16,8.75
ACGL,87.31,8731.0,108.3125,,,0.6005513000956375,89.19301346552574,1.0,0.8919301346552574,70.0,2025-10-17,18.8
PYPL,66.87,6687.0,82.52188,,,0.6000284555918728,89.90458221495838,1.0,0.8990458221495838,32.5,2026-01-16,35.18
REGN,577.4,57740.0,716.8729,,,0.5991613739208864,88.34768557492193,1.0,0.8834768557492192,550.0,2025-09-19,28.66
CI,294.395,29439.5,369.13303,,,0.5988133979438962,86.32621356968242,1.0,0.8632621356968242,200.0,2026-01-16,112.99
LULU,162.055,16205.5,199.20322,,,0.598512278855685,89.87131328856881,1.0,0.8987131328856881,120.0,2025-11-21,43.0
NCLH,25.225,2522.5,30.92857,,,0.5977117395952027,89.93969536747252,1.0,0.8993969536747253,21.0,2025-10-17,4.75
NOW,932.83,93283.0,1142.5885,,,0.5967623450705432,89.65179526395741,1.0,0.8965179526395741,590.0,2025-09-19,217.5
TDG,1287.09,128708.99999999999,1604.56,,,0.5966505168536878,86.32668023883835,1.0,0.8632668023883835,765.0,2025-12-19,556.0
CCI,93.725,9372.5,118.84222,,,0.5962702971731719,82.93687704750886,1.0,0.8293687704750886,90.0,2025-09-19,4.41
COP,95.02,9502.0,116.15385,,,0.5961277945458223,89.70168405464132,1.0,0.8970168405464132,70.0,2025-11-21,19.17
MELI,2364.18,236417.99999999997,2887.7307,,,0.5961200668022931,89.84234058587867,1.0,0.8984234058587868,1450.0,2026-01-16,1086.0
