symbol,price,cost_100_shares,target_price,earnings_date,tv_rating,score,chance_of_profit,iv,delta,strike,expiration_date,premium
MGM,35.92,3592,47.63889,,,0.606774032,82.28056088,0.971689971,0.822805609,29,12/19/2025,9.9
WY,25.84,2584,33.08333,,,0.60007226,82.98893572,1,0.829889357,20,10/17/2025,5.98
HAL,21.12,2112,26.54167,,,0.59947549,86.2315658,1,0.862315658,15,12/19/2025,6.9
KEY,18.04,1804,21.16818,,,0.578963563,88.47141586,1,0.884714159,13,9/19/2025,3.71
HBAN,16.57,1657,19.17,,,0.57432995,88.62846335,1,0.886284633,10,10/17/2025,6
BKR,42.8,4280,50.09524,,,0.567428305,83.14672275,1,0.831467227,33,11/21/2025,8.1
CZR,25.33,2533,41.47059,,,0.563343272,11.08977652,1,0.110897765,75,1/16/2026,0.14
KMI,26.67,2667,31.06722,,,0.556412772,78.4751151,1,0.784751151,21,12/19/2025,6.34
KDP,34.78,3478,38.6,,,0.552212532,84.63128048,1,0.846312805,28,10/17/2025,7
HRL,28.48,2848,32.44444,,,0.547382861,77.81130429,1,0.778113043,23,1/16/2026,7.75
SW,42.69,4269,56.02857,,,0.545193945,69.08738466,0.816418086,0.690873847,40,10/17/2025,6.4
RF,25.6,2560,28.42045,,,0.543261028,88.50179343,0.916026465,0.885017934,20,11/21/2025,5.9
GEN,31.47,3147,33.719,,,0.538248862,83.40469788,1,0.834046979,23,1/16/2026,7
IP,46.6,4660,54.15833,,,0.538055811,69.69851705,1,0.69698517,42.5,10/17/2025,4.8
VZ,44.24,4424,48.73938,,,0.537217373,89.68011512,0.886729883,0.896801151,36,10/17/2025,5.63
PPL,36.55,3655,38.23077,,,0.535351831,85.77809061,1,0.857780906,28,10/17/2025,7.3
FTV,48.16,4816,63,,,0.508877821,33.21798045,1,0.332179805,70,9/19/2025,4.41
FITB,42.48,4248,48.01136,,,0.508084476,88.31790548,0.711926943,0.883179055,35,11/21/2025,9.71
MRNA,28.02,2802,45.6,,,0.498222698,50,0.3,0.5,28.02,,0
LKQ,30.97,3097,43.41667,,,0.497538313,13.48499442,1,0.134849944,50,11/21/2025,0.2
CPRT,47.08,4708,58.625,,,0.487022756,76.0871507,0.55641092,0.760871507,42.5,1/16/2026,8.9
PCG,15.02,1502,20.35714,,,0.48419584,13.79758701,1,0.13797587,25,12/19/2025,0.06
AMCR,8.73,873,11.04,,,0.451292202,10.95537927,1,0.109553793,15,12/19/2025,0.05
BAX,24.18,2418,29.35733,,,0.448526358,17.14574732,1,0.171457473,47.5,9/19/2025,0.05
CNC,28.49,2849,34.5625,,,0.444247941,15.15222602,1,0.15152226,80,12/19/2025,0.95
SMCI,45.37,4537,50.375,,,0.435410129,26.15778633,1,0.261577863,1790,1/16/2026,9.25
ENPH,34.84,3484,42.20156,,,0.434126749,10.36894284,1,0.103689428,155,1/16/2026,0.3
HST,15.72,1572,18.32353,,,0.433916512,17.11541237,1,0.171154124,20,10/17/2025,0.06
CTRA,24.03,2403,33.72,,,0.430973783,50,0.3,0.5,24.03,,0
CAG,19.17,1917,21.41667,,,0.425008675,19.92476012,1,0.199247601,26,12/19/2025,0.1
APA,20.48,2048,23.53571,,,0.424354212,14.79641772,1,0.147964177,37.5,10/17/2025,0.03
SLB,32.99,3299,45.46429,,,0.423437011,50,0.3,0.5,32.99,,0
FE,43.47,4347,45.5,,,0.420261891,79.63827111,0.484878433,0.796382711,39,1/16/2026,3
AES,13.31,1331,13.83333,,,0.410215054,24.20974358,1,0.242097436,32,1/16/2026,0.1
DVN,33.69,3369,44.78571,,,0.408804185,50,0.3,0.5,33.69,,0
GIS,49.65,4965,55.2,,,0.406875383,11.67032002,1,0.1167032,82.5,1/16/2026,0.3
CMG,44.04,4404,58.25806,,,0.40685327,50,0.3,0.5,44.04,,0
KVUE,21.2,2120,22.8,,,0.403550668,15.45457943,1,0.154545794,35,1/16/2026,0.26
BMY,48.44,4844,53,,,0.401814077,11.78647711,1,0.117864771,85,9/19/2025,0.04
HPQ,26.74,2674,27.00133,,,0.401317581,24.1928408,1,0.241928408,36,11/21/2025,0.57
DOC,17.31,1731,22.46875,,,0.399406412,50,0.3,0.5,17.31,,0
CPB,32.51,3251,35.2,,,0.397149337,11.16310282,1,0.111631028,55,1/16/2026,0.2
IPG,26.09,2609,32.6375,,,0.385287466,50,0.3,0.5,26.09,,0
NWSA,29.461,2946.1,36.63333,,,0.383035505,50,0.3,0.5,29.461,,0
WBD,11.85,1185,14.68571,,,0.381790127,50,0.3,0.5,11.85,,0
DOW,23.36,2336,28.94118,,,0.381676113,50,0.3,0.5,23.36,,0
NCLH,24.3,2430,29.97619,,,0.38007642,50,0.3,0.5,24.3,,0
MOS,32.47,3247,39.74737,,,0.377237789,50,0.3,0.5,32.47,,0
VICI,32.5,3250,36.59091,,,0.376314865,17.51726438,0.767590449,0.175172644,42.5,1/16/2026,0.2
INVH,30.54,3054,37.15909,,,0.37502053,50,0.3,0.5,30.54,,0
